dataset,breed,image_count,formats,zero_byte_or_suspicious_count
A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,banni,127,.jpeg|.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,bargur,122,.jpg,0
A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,bhadawari,148,.jpg,0
A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,chhattisgarhi,131,.jpeg|.jpg,0
A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,chilika,144,.jpeg|.jpg,0
A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,gojri,177,.jpeg|.jpg,0
A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,jaffarabadi,357,.jpeg|.jpg,0
A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,kalahandi,67,.jpeg|.jpg,0
A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,luit,129,.jpg,0
A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,marathwadi,172,.jpeg|.jpg,0
A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,mehsana,68,.jpg,0
A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,murrah,326,.jpeg|.jpg,0
A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,nagpuri,156,.jpg,0
A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,nili-ravi,189,.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,pandharpuri,141,.jpeg|.jpg,0
A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,surti,170,.jpg,0
A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,toda,161,.jpeg|.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,amritmahal,138,.jpeg|.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,ayrshire,233,.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,bachaur,127,.jpeg|.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,badri,103,.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,bargur,133,.jpeg|.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,bhelai,132,.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,dagri,126,.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,dangi,176,.jpeg|.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,deoni,104,.jpeg|.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,gangatiri,149,.jpeg|.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,gaolao,134,.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,ghumusari,172,.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,gir,353,.jpeg|.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,hallikar,180,.jpeg|.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,hariana,126,.jpeg|.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,himachali-pahari,176,.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,kangayam,176,.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,kankrej,177,.jpeg|.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,kenkatha,180,.jpeg|.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,khariar,134,.jpeg|.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,kherigarh,126,.jpeg|.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,khillari,113,.jpeg|.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,konkan-kapila,128,.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,kosali,130,.jpeg|.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,krishna-valley,136,.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,ladakhi,130,.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,lakhimi,137,.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,malnad-gidda,104,.jpeg|.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,malvi,181,.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,mewati,230,.jpeg|.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,motu,183,.jpeg|.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,nagori,183,.jpeg|.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,nari,182,.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,nimari,83,.jpeg|.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,ongole,191,.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,poda-thirupu,182,.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,ponwar,225,.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,pulikulam,119,.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,punganur,158,.jpeg|.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,purnea,274,.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,rathi,143,.jpeg|.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,red-kandhari,184,.jpeg|.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,red-sindhi,155,.jpeg|.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,sahiwal,421,.jpeg|.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,shweta-kapila,231,.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,siri,184,.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,tharparkar,212,.jpeg|.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,thutho,184,.jpeg|.jpg,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,umblachery,255,.jpeg|.jpg|.png,0
A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,vechur,138,.jpeg|.jpg|.png,0
