hash,path,breed
afa0505b292f37e4,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_63.jpg,alambadi
afa0505b292f37e4,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bargur\DS03__Bargur_60.jpg,bargur
a7c4d6b4cacb181b,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0106.jpg,alambadi
a7c4d6b4cacb181b,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\umblachery\DS02__image_319x158_54.jpg,umblachery
bfa4d053893f9132,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0169.jpg,alambadi
bfa4d053893f9132,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bargur\DS04__bargur_0074.jpg,bargur
bfa4d053893f9132,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bhelai\DS02__Ministry_of_Fisheries_Animal_Husbandry_.jpg,bhelai
aaac3c588fa5f152,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_36.jpg,amritmahal
aaac3c588fa5f152,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS02__Khillari_68.jpg,khillari
aaac3c588fa5f152,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS04__khillar_0095.jpg,khillari
aaac3c588fa5f152,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS06__Khillari_68.jpg,khillari
aaac3c588fa5f152,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS10__Khillari_68.jpg,khillari
8999a786cbd26666,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_40.jpg,amritmahal
8999a786cbd26666,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\hallikar\DS02__Hallikar_119.jpg,hallikar
c69d746c69439927,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_5.jpg,amritmahal
c69d746c69439927,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS02__Khillari_53.jpg,khillari
c69d746c69439927,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS02__Khillari_54.jpg,khillari
c69d746c69439927,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS04__khillar_0079.jpg,khillari
c69d746c69439927,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS04__khillar_0080.jpg,khillari
c69d746c69439927,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS06__Khillari_53.jpg,khillari
c69d746c69439927,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS06__Khillari_54.jpg,khillari
c69d746c69439927,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS10__Khillari_53.jpg,khillari
c69d746c69439927,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS10__Khillari_54.jpg,khillari
ef84947a85a7d04b,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_58.jpg,amritmahal
ef84947a85a7d04b,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\hallikar\DS02__Hallikar_28.jpg,hallikar
8e0765bd91d1f069,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_64.jpg,amritmahal
8e0765bd91d1f069,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS02__Khillari_84.jpg,khillari
8e0765bd91d1f069,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS04__khillar_0111.jpg,khillari
