hash,breed_a,path_a,breed_b,path_b,md5_match,ssim_score,tier
afa0505b292f37e4,alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_63.jpg,bargur,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bargur\DS03__Bargur_60.jpg,False,,comparison_failed
a7c4d6b4cacb181b,alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0106.jpg,umblachery,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\umblachery\DS02__image_319x158_54.jpg,False,,comparison_failed
bfa4d053893f9132,alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0169.jpg,bargur,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bargur\DS04__bargur_0074.jpg,False,,comparison_failed
bfa4d053893f9132,alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0169.jpg,bhelai,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bhelai\DS02__Ministry_of_Fisheries_Animal_Husbandry_.jpg,False,,comparison_failed
bfa4d053893f9132,bargur,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bargur\DS04__bargur_0074.jpg,bhelai,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bhelai\DS02__Ministry_of_Fisheries_Animal_Husbandry_.jpg,False,,comparison_failed
aaac3c588fa5f152,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_36.jpg,khillari,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS02__Khillari_68.jpg,False,,comparison_failed
aaac3c588fa5f152,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_36.jpg,khillari,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS04__khillar_0095.jpg,False,,comparison_failed
aaac3c588fa5f152,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_36.jpg,khillari,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS06__Khillari_68.jpg,False,,comparison_failed
aaac3c588fa5f152,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_36.jpg,khillari,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS10__Khillari_68.jpg,False,,comparison_failed
8999a786cbd26666,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_40.jpg,hallikar,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\hallikar\DS02__Hallikar_119.jpg,False,,comparison_failed
c69d746c69439927,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_5.jpg,khillari,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS02__Khillari_53.jpg,False,,comparison_failed
c69d746c69439927,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_5.jpg,khillari,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS02__Khillari_54.jpg,False,,comparison_failed
c69d746c69439927,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_5.jpg,khillari,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS04__khillar_0079.jpg,False,,comparison_failed
c69d746c69439927,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_5.jpg,khillari,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS04__khillar_0080.jpg,False,,comparison_failed
c69d746c69439927,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_5.jpg,khillari,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS06__Khillari_53.jpg,False,,comparison_failed
c69d746c69439927,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_5.jpg,khillari,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS06__Khillari_54.jpg,False,,comparison_failed
c69d746c69439927,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_5.jpg,khillari,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS10__Khillari_53.jpg,False,,comparison_failed
c69d746c69439927,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_5.jpg,khillari,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS10__Khillari_54.jpg,False,,comparison_failed
ef84947a85a7d04b,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_58.jpg,hallikar,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\hallikar\DS02__Hallikar_28.jpg,False,,comparison_failed
8e0765bd91d1f069,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_64.jpg,khillari,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS02__Khillari_84.jpg,False,,comparison_failed
8e0765bd91d1f069,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_64.jpg,khillari,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS04__khillar_0111.jpg,False,,comparison_failed
8e0765bd91d1f069,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_64.jpg,khillari,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS06__Khillari_84.jpg,False,,comparison_failed
8e0765bd91d1f069,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_64.jpg,khillari,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS10__Khillari_84.jpg,False,,comparison_failed
fcf4206109ddf60e,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_74.jpg,hariana,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\hariana\DS02__Hariana_39.jpg,False,,comparison_failed
fcf4206109ddf60e,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_74.jpg,kankrej,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kankrej\DS02__Kankrej_178.jpg,False,,comparison_failed
fcf4206109ddf60e,amritmahal,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_74.jpg,kenkatha,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kenkatha\DS04__kenkatha_0041.jpg,False,,comparison_failed
