breed,original_path,new_path,moved
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_1.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_10.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_100.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_101.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_11.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_12.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_13.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_14.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_15.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_16.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_17.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_18.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_19.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_2.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_20.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_21.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_22.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_23.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_24.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_25.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_26.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_27.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_28.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_29.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_3.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_30.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_31.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_32.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_33.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_35.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_36.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_37.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_38.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_39.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_4.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_40.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_41.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_42.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_43.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_44.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_45.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_46.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_47.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_49.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_5.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_50.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_51.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_52.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_53.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_54.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_55.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_56.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_57.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_58.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_59.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_6.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_60.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_61.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_62.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_63.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_64.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_65.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_66.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_67.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_68.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_7.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_71.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_72.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_73.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_74.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_75.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_76.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_77.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_78.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_79.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_8.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_80.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_81.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_82.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_83.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_84.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_85.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_86.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_87.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_88.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_89.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_9.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_90.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_91.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_92.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_93.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_94.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_95.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_96.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_97.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_98.png,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_99.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0001.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0002.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0004.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0007.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0009.jpg,,False
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0010.jpg,,False
