breed,dataset_code,dataset_full_name,original_path,cluster_id,duplicate_type,role,new_path
nagpuri,DS01,A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\nagpuri\DS01__image_70x46_2.jpg,,,rejected_invalid (too_small),D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_from_validation\nagpuri\DS01__image_70x46_2.jpg
nagpuri,DS01,A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\nagpuri\DS01__image_71x46_1.jpg,,,rejected_invalid (too_small),D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_from_validation\nagpuri\DS01__image_71x46_1.jpg
bachaur,DS02,A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bachaur\DS02__image_72x46_1.jpg,,,rejected_invalid (too_small),D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_from_validation\bachaur\DS02__image_72x46_1.jpg
bhelai,DS02,A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bhelai\DS02__Screenshot 2025-09-24 182731.png,,,rejected_invalid (too_small),D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_from_validation\bhelai\DS02__Screenshot 2025-09-24 182731.png
gaolao,DS02,A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\gaolao\DS02__image_65x46_2.jpg,,,rejected_invalid (too_small),D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_from_validation\gaolao\DS02__image_65x46_2.jpg
gaolao,DS02,A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\gaolao\DS02__image_69x46_1.jpg,,,rejected_invalid (too_small),D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_from_validation\gaolao\DS02__image_69x46_1.jpg
gaolao,DS02,A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\gaolao\DS02__image_83x46_1.jpg,,,rejected_invalid (too_small),D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_from_validation\gaolao\DS02__image_83x46_1.jpg
himachali-pahari,DS02,A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\himachali-pahari\DS02__image_65x46_1.jpg,,,rejected_invalid (too_small),D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_from_validation\himachali-pahari\DS02__image_65x46_1.jpg
punganur,DS02,A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\punganur\DS02__image_46x68_85.jpg,,,rejected_invalid (too_small),D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_from_validation\punganur\DS02__image_46x68_85.jpg
punganur,DS02,A-Comprehensive-Visual-Dataset-of-50-Government-Recognized-Indian-Cattle-Breeds,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\punganur\DS02__image_70x46_84.jpg,,,rejected_invalid (too_small),D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_from_validation\punganur\DS02__image_70x46_84.jpg
alambadi,DS03,BovCap-5K-Annotated-Bovine-Image-Caption-Dataset,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_48.png,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS03__Alambadi_48.png
alambadi,DS03,BovCap-5K-Annotated-Bovine-Image-Caption-Dataset,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_70.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS03__Alambadi_70.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0003.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0003.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0005.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0005.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0006.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0006.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0008.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0008.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0011.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0011.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0012.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0012.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0013.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0013.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0015.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0015.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0019.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0019.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0022.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0022.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0026.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0026.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0027.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0027.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0030.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0030.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0031.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0031.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0033.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0033.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0034.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0034.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0036.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0036.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0038.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0038.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0039.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0039.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0040.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0040.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0041.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0041.jpg
