path,breed,role
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_1.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_10.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_100.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_101.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_11.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_12.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_13.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_14.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_15.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_16.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_17.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_18.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_19.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_2.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_20.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_21.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_22.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_23.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_24.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_25.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_26.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_27.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_28.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_29.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_3.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_30.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_31.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_32.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_33.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_35.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_36.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_37.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_38.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_39.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_4.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_40.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_41.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_42.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_43.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_44.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_45.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_46.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_47.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_49.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_5.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_50.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_51.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_52.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_53.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_54.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_55.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_56.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_57.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_58.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_59.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_6.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_60.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_61.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_62.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_63.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_64.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_65.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_66.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_67.jpg,alambadi,unique
