path,breed,dataset_code,old_is_grayscale,new_is_grayscale,method,mean_channel_diff
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_101.jpg,holstein-friesian,DS03,False,True,channel_analysis,7.14
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_109.jpg,holstein-friesian,DS03,False,True,channel_analysis,6.88
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_126.jpg,holstein-friesian,DS03,False,True,channel_analysis,1.58
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_130.jpg,holstein-friesian,DS03,False,True,channel_analysis,4.21
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_132.jpg,holstein-friesian,DS03,False,True,channel_analysis,5.81
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_148.jpg,holstein-friesian,DS03,False,True,channel_analysis,2.01
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_15.jpg,holstein-friesian,DS03,False,True,channel_analysis,7.29
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_150.jpg,holstein-friesian,DS03,False,True,channel_analysis,7.03
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_151.jpg,holstein-friesian,DS03,False,True,channel_analysis,2.23
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_154.jpg,holstein-friesian,DS03,False,True,channel_analysis,6.09
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_157.jpg,holstein-friesian,DS03,False,True,channel_analysis,1.41
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_16.jpg,holstein-friesian,DS03,False,True,channel_analysis,6.49
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_163.jpg,holstein-friesian,DS03,False,True,channel_analysis,2.43
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_164.jpg,holstein-friesian,DS03,False,True,channel_analysis,6.61
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_165.jpg,holstein-friesian,DS03,False,True,channel_analysis,0.86
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_171.jpg,holstein-friesian,DS03,False,True,channel_analysis,1.76
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_18.jpg,holstein-friesian,DS03,False,True,channel_analysis,2.46
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_191.jpg,holstein-friesian,DS03,False,True,channel_analysis,5.03
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_195.jpg,holstein-friesian,DS03,False,True,channel_analysis,5.63
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_199.jpg,holstein-friesian,DS03,False,True,channel_analysis,2.57
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_20.jpg,holstein-friesian,DS03,False,True,channel_analysis,5.73
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_202.jpg,holstein-friesian,DS03,False,True,channel_analysis,3.39
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_208.jpg,holstein-friesian,DS03,False,True,channel_analysis,3.84
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_212.jpg,holstein-friesian,DS03,False,True,channel_analysis,1.7
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_214.jpg,holstein-friesian,DS03,False,True,channel_analysis,5.86
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_218.jpg,holstein-friesian,DS03,False,True,channel_analysis,6.82
