cluster_key,breed,old_split,new_split,old_path,new_path,moved
sahiwal_93,sahiwal,test,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\sahiwal\DS08__Sahiwal_188_jpg.rf.b145b8a748f16181b12f2d4d16398efb.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\sahiwal\DS08__Sahiwal_188_jpg.rf.b145b8a748f16181b12f2d4d16398efb.jpg,True
sahiwal_159,sahiwal,train,val,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\sahiwal\DS08__Sahiwal_25_jpg.rf.4167bd0874f1e54d05a5729aac6f9182.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\sahiwal\DS08__Sahiwal_25_jpg.rf.4167bd0874f1e54d05a5729aac6f9182.jpg,True
sahiwal_205,sahiwal,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\sahiwal\DS08__Sahiwal_297_jpg.rf.b94310a958c2dc2aac258332ba96c078.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\sahiwal\DS08__Sahiwal_297_jpg.rf.b94310a958c2dc2aac258332ba96c078.jpg,True
sahiwal_231,sahiwal,train,test,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\sahiwal\DS08__Sahiwal_325_jpg.rf.e01a23b01076204ea0aa172f49851f11.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\sahiwal\DS08__Sahiwal_325_jpg.rf.e01a23b01076204ea0aa172f49851f11.jpg,True
sahiwal_234,sahiwal,train,val,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\sahiwal\DS08__Sahiwal_328_jpg.rf.d69d54eab0a62817cbaca81e105cd2a2.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\sahiwal\DS08__Sahiwal_328_jpg.rf.d69d54eab0a62817cbaca81e105cd2a2.jpg,True
sahiwal_234,sahiwal,train,val,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\sahiwal\DS08__Sahiwal_355_jpg.rf.98a1e3a031b678c319a6cf2633d3944a__aug6_sahiwal_234.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\sahiwal\DS08__Sahiwal_355_jpg.rf.98a1e3a031b678c319a6cf2633d3944a__aug6_sahiwal_234.jpg,True
sahiwal_263,sahiwal,train,val,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\sahiwal\DS04__sahiwal_0296__aug2_sahiwal_263.png,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\sahiwal\DS04__sahiwal_0296__aug2_sahiwal_263.png,True
sahiwal_263,sahiwal,train,val,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\sahiwal\DS06__Sahiwal_357__aug3_sahiwal_263.png,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\sahiwal\DS06__Sahiwal_357__aug3_sahiwal_263.png,True
sahiwal_290,sahiwal,train,test,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\sahiwal\DS08__Sahiwal_381_png.rf.886afafd03d0129c66a27d4fd77ccb13.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\sahiwal\DS08__Sahiwal_381_png.rf.886afafd03d0129c66a27d4fd77ccb13.jpg,True
sahiwal_296,sahiwal,test,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\sahiwal\DS08__Sahiwal_387_jpg.rf.4d88e2efa4419031e2407cd4f840bb6f.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\sahiwal\DS08__Sahiwal_387_jpg.rf.4d88e2efa4419031e2407cd4f840bb6f.jpg,True
sahiwal_301,sahiwal,test,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\sahiwal\DS08__Sahiwal_391_jpg.rf.de7cb6e80b7eff8e31e35db1556c6b87.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\sahiwal\DS08__Sahiwal_391_jpg.rf.de7cb6e80b7eff8e31e35db1556c6b87.jpg,True
sahiwal_315,sahiwal,train,test,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\sahiwal\DS08__Sahiwal_403_jpg.rf.c2e88165651e0880146fafb28556abd4.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\sahiwal\DS08__Sahiwal_403_jpg.rf.c2e88165651e0880146fafb28556abd4.jpg,True
sahiwal_451,sahiwal,test,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\sahiwal\DS11__Sahiwal_049__aug1_sahiwal_451.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\sahiwal\DS11__Sahiwal_049__aug1_sahiwal_451.jpg,True
sahiwal_772,sahiwal,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\sahiwal\DS08__Sahiwal_19_jpg.rf.948038d530d00f56d2c3eb2a6f3c9ab5__aug2_sahiwal_772.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\sahiwal\DS08__Sahiwal_19_jpg.rf.948038d530d00f56d2c3eb2a6f3c9ab5__aug2_sahiwal_772.jpg,True
sahiwal_776,sahiwal,train,test,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\sahiwal\DS08__Sahiwal_253_jpg.rf.17407d5a0fd3778623b0748b479acd63__aug1_sahiwal_776.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\sahiwal\DS08__Sahiwal_253_jpg.rf.17407d5a0fd3778623b0748b479acd63__aug1_sahiwal_776.jpg,True
sahiwal_779,sahiwal,train,val,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\sahiwal\DS08__Sahiwal_290_jpg.rf.d3b246521b305c247dc91774f8412a5e__aug2_sahiwal_779.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\sahiwal\DS08__Sahiwal_290_jpg.rf.d3b246521b305c247dc91774f8412a5e__aug2_sahiwal_779.jpg,True
sahiwal_780,sahiwal,train,test,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\sahiwal\DS08__Sahiwal_293_jpg.rf.f9ecfa8ab064e6fa2354a1d7023e6d9e__aug1_sahiwal_780.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\sahiwal\DS08__Sahiwal_293_jpg.rf.f9ecfa8ab064e6fa2354a1d7023e6d9e__aug1_sahiwal_780.jpg,True
sahiwal_789,sahiwal,test,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\sahiwal\DS08__Sahiwal_69_jpg.rf.84e3a9903a9000cd813616ab4f5e0e46__aug1_sahiwal_789.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\sahiwal\DS08__Sahiwal_69_jpg.rf.84e3a9903a9000cd813616ab4f5e0e46__aug1_sahiwal_789.jpg,True
sahiwal_817,sahiwal,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\sahiwal\DS05__360_F_1366236815_HpAkMrjFZvIZjewc4o1QBVoWTE4l04Jf_rot30_b0_8_jpg.rf.799b2a805a0e96c321ff92415a3954d4.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\sahiwal\DS05__360_F_1366236815_HpAkMrjFZvIZjewc4o1QBVoWTE4l04Jf_rot30_b0_8_jpg.rf.799b2a805a0e96c321ff92415a3954d4.jpg,True
nagori_181,nagori,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\nagori\DS03__00000057__aug1_nagori_181.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\nagori\DS03__00000057__aug1_nagori_181.jpg,True
