breed,path_a,path_b,distance
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_10.png,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_98.png,6
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_100.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_97.png,8
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_12.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_006.jpg,6
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_15.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_009.jpg,6
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_16.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_010.jpg,8
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_17.png,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_94.png,6
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_21.png,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_016.jpg,6
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_26.png,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_31.png,8
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_29.png,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_024.jpg,6
alambadi,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_31.png,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_027.jpg,6
