path,breed,split,role,is_grayscale,cluster_key
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\holstein-friesian\DS03__Holstein_Friesian_1.jpg,holstein-friesian,val,unique,False,holstein-friesian_1
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\holstein-friesian\DS03__Holstein_Friesian_10.jpg,holstein-friesian,val,unique,False,holstein-friesian_2
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_100.jpg,holstein-friesian,train,unique,False,holstein-friesian_3
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\holstein-friesian\DS03__Holstein_Friesian_101.jpg,holstein-friesian,val,unique,True,holstein-friesian_4
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_102.jpg,holstein-friesian,train,unique,False,holstein-friesian_5
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_103.jpg,holstein-friesian,train,unique,False,holstein-friesian_6
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_104.jpg,holstein-friesian,train,unique,False,holstein-friesian_7
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_107.jpg,holstein-friesian,train,unique,False,holstein-friesian_8
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_108.jpg,holstein-friesian,train,unique,False,holstein-friesian_9
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\holstein-friesian\DS03__Holstein_Friesian_109.jpg,holstein-friesian,test,unique,True,holstein-friesian_10
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\holstein-friesian\DS03__Holstein_Friesian_11.jpg,holstein-friesian,val,unique,False,holstein-friesian_11
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_110.jpg,holstein-friesian,train,unique,False,holstein-friesian_12
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_111.jpg,holstein-friesian,train,unique,False,holstein-friesian_13
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_112.jpg,holstein-friesian,train,unique,False,holstein-friesian_14
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\holstein-friesian\DS03__Holstein_Friesian_113.jpg,holstein-friesian,test,unique,False,holstein-friesian_15
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\holstein-friesian\DS03__Holstein_Friesian_114.jpg,holstein-friesian,val,unique,False,holstein-friesian_16
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_115.jpg,holstein-friesian,train,unique,False,holstein-friesian_17
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_116.jpg,holstein-friesian,train,unique,False,holstein-friesian_18
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_118.jpg,holstein-friesian,train,unique,False,holstein-friesian_19
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\holstein-friesian\DS03__Holstein_Friesian_119.jpg,holstein-friesian,val,unique,False,holstein-friesian_20
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_12.jpg,holstein-friesian,train,unique,False,holstein-friesian_21
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\holstein-friesian\DS03__Holstein_Friesian_121.jpg,holstein-friesian,val,unique,False,holstein-friesian_22
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\holstein-friesian\DS03__Holstein_Friesian_122.jpg,holstein-friesian,test,unique,False,holstein-friesian_23
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_123.jpg,holstein-friesian,train,unique,False,holstein-friesian_24
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\holstein-friesian\DS03__Holstein_Friesian_124.jpg,holstein-friesian,test,unique,False,holstein-friesian_25
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\holstein-friesian\DS03__Holstein_Friesian_125.jpg,holstein-friesian,val,unique,False,holstein-friesian_26
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_126.jpg,holstein-friesian,train,unique,True,holstein-friesian_27
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_127.jpg,holstein-friesian,train,unique,False,holstein-friesian_28
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\holstein-friesian\DS03__Holstein_Friesian_128.jpg,holstein-friesian,val,unique,False,holstein-friesian_29
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_129.jpg,holstein-friesian,train,unique,False,holstein-friesian_30
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_13.jpg,holstein-friesian,train,unique,False,holstein-friesian_31
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_130.jpg,holstein-friesian,train,unique,True,holstein-friesian_32
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_132.jpg,holstein-friesian,train,unique,True,holstein-friesian_33
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\holstein-friesian\DS03__Holstein_Friesian_133.jpg,holstein-friesian,test,unique,False,holstein-friesian_34
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_134.jpg,holstein-friesian,train,unique,False,holstein-friesian_35
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_136.jpg,holstein-friesian,train,unique,False,holstein-friesian_36
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_137.jpg,holstein-friesian,train,unique,False,holstein-friesian_37
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\holstein-friesian\DS03__Holstein_Friesian_138.jpg,holstein-friesian,val,unique,False,holstein-friesian_38
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_139.jpg,holstein-friesian,train,unique,False,holstein-friesian_39
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\holstein-friesian\DS03__Holstein_Friesian_14.jpg,holstein-friesian,val,unique,False,holstein-friesian_40
