path,breed,dataset_code,source_type,role,width,height,format,mode,is_grayscale,aspect_ratio,resolution_category,file_size_bytes,status,grayscale_detection_method
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_1.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9640,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_10.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9199,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_100.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,12556,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_101.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,4578,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_102.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8701,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_103.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,11092,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_104.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9582,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_107.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,5246,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_108.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,6914,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_109.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,8704,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_11.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8107,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_110.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8992,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_111.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9921,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_112.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9390,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_113.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8492,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_114.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,7131,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_115.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,7417,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_116.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9363,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_118.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8527,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_119.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8807,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_12.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8813,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_121.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,11110,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_122.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10366,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_123.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,7194,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_124.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9218,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_125.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,7913,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_126.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,5875,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_127.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8606,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_128.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10057,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_129.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10360,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_13.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10092,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_130.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,6148,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_132.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,6920,ok,channel_analysis
