breed,dataset_code,dataset_full_name,original_filename,master_filename,master_path
banni,DS01,A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,0caae52ef510154bb215e99a7db35607.jpg,DS01__0caae52ef510154bb215e99a7db35607.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\banni\DS01__0caae52ef510154bb215e99a7db35607.jpg
banni,DS01,A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,1.jpg,DS01__1.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\banni\DS01__1.jpg
banni,DS01,A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,1200-675-22364010-thumbnail-16x9-buff-aspera.jpg,DS01__1200-675-22364010-thumbnail-16x9-buff-aspera.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\banni\DS01__1200-675-22364010-thumbnail-16x9-buff-aspera.jpg
banni,DS01,A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,1200-675-24487330-580-24487330-1751278969292.jpg,DS01__1200-675-24487330-580-24487330-1751278969292.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\banni\DS01__1200-675-24487330-580-24487330-1751278969292.jpg
banni,DS01,A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,1280px-Water_buffalo_bull-_near_Mehsana-_Gujarat-_India-_3.jpg,DS01__1280px-Water_buffalo_bull-_near_Mehsana-_Gujarat-_India-_3.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\banni\DS01__1280px-Water_buffalo_bull-_near_Mehsana-_Gujarat-_India-_3.jpg
banni,DS01,A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,144140470_68943d84c486a_1754545540.jpg,DS01__144140470_68943d84c486a_1754545540.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\banni\DS01__144140470_68943d84c486a_1754545540.jpg
banni,DS01,A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,1758178212698_IMG_3836.jpeg,DS01__1758178212698_IMG_3836.jpeg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\banni\DS01__1758178212698_IMG_3836.jpeg
banni,DS01,A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,1_dd1190b0-b73c-486c-804f-34d6e4f01102_medium.png,DS01__1_dd1190b0-b73c-486c-804f-34d6e4f01102_medium.png,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\banni\DS01__1_dd1190b0-b73c-486c-804f-34d6e4f01102_medium.png
banni,DS01,A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,348753-1.jpg,DS01__348753-1.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\banni\DS01__348753-1.jpg
banni,DS01,A-Comprehensive-Visual-Dataset-of-17-Indian-Government-Recognized-Buffalo-Breeds,4d062093d31abf50d75c109615af89c4166341077764376_original.jpg,DS01__4d062093d31abf50d75c109615af89c4166341077764376_original.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\banni\DS01__4d062093d31abf50d75c109615af89c4166341077764376_original.jpg
