breed,original_path,new_path,moved
holstein-friesian,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_105__aug1_holstein-friesian_8.jpg,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\unexplained_discovered\holstein-friesian\DS03__Holstein_Friesian_105__aug1_holstein-friesian_8.jpg,True
holstein-friesian,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_106__aug1_holstein-friesian_9.jpg,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\unexplained_discovered\holstein-friesian\DS03__Holstein_Friesian_106__aug1_holstein-friesian_9.jpg,True
holstein-friesian,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_117__aug1_holstein-friesian_21.jpg,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\unexplained_discovered\holstein-friesian\DS03__Holstein_Friesian_117__aug1_holstein-friesian_21.jpg,True
holstein-friesian,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_120__aug1_holstein-friesian_25.jpg,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\unexplained_discovered\holstein-friesian\DS03__Holstein_Friesian_120__aug1_holstein-friesian_25.jpg,True
holstein-friesian,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_131__aug1_holstein-friesian_37.jpg,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\unexplained_discovered\holstein-friesian\DS03__Holstein_Friesian_131__aug1_holstein-friesian_37.jpg,True
holstein-friesian,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_135__aug1_holstein-friesian_41.jpg,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\unexplained_discovered\holstein-friesian\DS03__Holstein_Friesian_135__aug1_holstein-friesian_41.jpg,True
holstein-friesian,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_144__aug1_holstein-friesian_51.jpg,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\unexplained_discovered\holstein-friesian\DS03__Holstein_Friesian_144__aug1_holstein-friesian_51.jpg,True
holstein-friesian,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_145__aug1_holstein-friesian_52.jpg,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\unexplained_discovered\holstein-friesian\DS03__Holstein_Friesian_145__aug1_holstein-friesian_52.jpg,True
holstein-friesian,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_147__aug1_holstein-friesian_54.jpg,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\unexplained_discovered\holstein-friesian\DS03__Holstein_Friesian_147__aug1_holstein-friesian_54.jpg,True
holstein-friesian,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_153__aug1_holstein-friesian_61.jpg,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\unexplained_discovered\holstein-friesian\DS03__Holstein_Friesian_153__aug1_holstein-friesian_61.jpg,True
holstein-friesian,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_167__aug1_holstein-friesian_76.jpg,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\unexplained_discovered\holstein-friesian\DS03__Holstein_Friesian_167__aug1_holstein-friesian_76.jpg,True
holstein-friesian,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_172__aug1_holstein-friesian_82.jpg,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\unexplained_discovered\holstein-friesian\DS03__Holstein_Friesian_172__aug1_holstein-friesian_82.jpg,True
holstein-friesian,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_175__aug1_holstein-friesian_85.jpg,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\unexplained_discovered\holstein-friesian\DS03__Holstein_Friesian_175__aug1_holstein-friesian_85.jpg,True
holstein-friesian,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_181__aug1_holstein-friesian_92.jpg,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\unexplained_discovered\holstein-friesian\DS03__Holstein_Friesian_181__aug1_holstein-friesian_92.jpg,True
